rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold,period
h_A,0.10078332257193155,112434.809058005,0.11443393971820648,Sinic,domestic_PIs,658.0,early
beta,0.06971319458731101,112413.25111307611,0.09523827005378567,Sinic,domestic_PIs,658.0,early
alpha,0.020739018239190186,112366.25244269143,0.05338961730200059,Sinic,domestic_PIs,658.0,early
p_A,0.14291520099513155,112335.56930968449,0.02606867890024531,Sinic,domestic_PIs,658.0,early
d,0.036620312603315566,108435.30457292145,-3.446813070155169,Sinic,domestic_PIs,658.0,early
r,0.07082745701768545,140809.12937921222,1.0101010100951908,United States,domestic_active,1844.0637813211845,early
I0,4212.909090921046,140795.04846628237,0.9999999999999762,United States,domestic_active,1844.0637813211845,early
h_D,0.09103390221896868,140073.20898296637,0.4821850014677281,United States,domestic_active,1844.0637813211845,early
p_D,0.08869380724929801,139874.76089736406,0.33982732011337463,United States,domestic_active,1844.0637813211845,early
beta,0.01957826482106719,139568.13551807537,0.11986814082750843,United States,domestic_active,1844.0637813211845,early
h_A,0.13570501537708393,139430.00072661496,0.020776488887470558,United States,domestic_active,1844.0637813211845,early
p_A,0.13384332137175317,139413.17572831744,0.008706996056854668,United States,domestic_active,1844.0637813211845,early
alpha,0.03701042115977939,139062.2905876523,-0.24300213429417403,United States,domestic_active,1844.0637813211845,early
d,0.05123478565077462,135703.03294510132,-2.652781637150061,United States,domestic_active,1844.0637813211845,early
r,0.07082745701768545,60082.119383674944,1.0101010100952215,United States,domestic_PIs,356.0,early
I0,4212.909090921046,60076.11117174002,1.0000000000000002,United States,domestic_PIs,356.0,early
h_D,0.09103390221896868,59944.32636029373,0.778443283087596,United States,domestic_PIs,356.0,early
p_D,0.08869380724929801,59885.56559305711,0.6796546402286603,United States,domestic_PIs,356.0,early
beta,0.01957826482106719,59568.75572359496,0.14703366674046398,United States,domestic_PIs,356.0,early
h_A,0.13570501537708393,59503.22811080507,0.03686859841806218,United States,domestic_PIs,356.0,early
p_A,0.13384332137175317,59491.65625841756,0.01741399211378994,United States,domestic_PIs,356.0,early
alpha,0.03701042115977939,59364.77339482733,-0.19590156664430944,United States,domestic_PIs,356.0,early
d,0.05123478565077462,57478.95084388746,-3.366347754488164,United States,domestic_PIs,356.0,early
r,0.050809758736477306,76005.36195842647,1.010101010093109,Anglosphere ex-US,domestic_active,3183.4920212765956,late
I0,1696.1666666732197,75997.76142223657,0.9999999999999966,Anglosphere ex-US,domestic_active,3183.4920212765956,late
